brand_name,link,brand_id
apple,https://cellphones.com.vn/mobile/apple.html,1
samsung,https://cellphones.com.vn/mobile/samsung.html,2
xiaomi,https://cellphones.com.vn/mobile/xiaomi.html,3
oppo,https://cellphones.com.vn/mobile/oppo.html,4
realme,https://cellphones.com.vn/mobile/realme.html,5
nokia,https://cellphones.com.vn/mobile/nokia.html,6
oneplus,https://cellphones.com.vn/mobile/oneplus.html,7
infinix,https://cellphones.com.vn/mobile/infinix.html,8
asus,https://cellphones.com.vn/mobile/asus.html,9
vivo,https://cellphones.com.vn/mobile/vivo.html,10
nubia,https://cellphones.com.vn/mobile/nubia.html,11
tecno,https://cellphones.com.vn/mobile/tecno.html,12
tcl,https://cellphones.com.vn/mobile/tcl.html,13
itel,https://cellphones.com.vn/mobile/itel.html,14
dien-thoai-pho-thong,https://cellphones.com.vn/mobile/dien-thoai-pho-thong.html,15
hang-sap-ve,https://cellphones.com.vn/mobile/hang-sap-ve.html,16
