brand_name,link,brand_id
apple-watch,https://cellphones.com.vn/do-choi-cong-nghe/apple-watch.html,1
samsung,https://cellphones.com.vn/do-choi-cong-nghe/samsung.html,2
xiaomi,https://cellphones.com.vn/do-choi-cong-nghe/xiaomi.html,3
huawei,https://cellphones.com.vn/do-choi-cong-nghe/huawei.html,4
coros,https://cellphones.com.vn/do-choi-cong-nghe/coros.html,5
garmin,https://cellphones.com.vn/do-choi-cong-nghe/garmin.html,6
amazfit,https://cellphones.com.vn/do-choi-cong-nghe/amazfit.html,7
kieslect,https://cellphones.com.vn/do-choi-cong-nghe/kieslect.html,8
asus,https://cellphones.com.vn/do-choi-cong-nghe/asus.html,9
day-deo-dong-ho,https://cellphones.com.vn/do-choi-cong-nghe/day-deo-dong-ho.html,10
