product_name,brand_id,product_link,current_price,original_price,percent_discount
iPhone 15 Pro Max 256GB | Chính hãng VN/A,1,https://cellphones.com.vn/iphone-15-pro-max.html,31.990.000₫,34.990.000₫,Giảm 9%
iPhone 15 128GB | Chính hãng VN/A,1,https://cellphones.com.vn/iphone-15.html,21.590.000₫,22.990.000₫,Giảm 6%
iPhone 14 Pro Max 128GB | Chính hãng VN/A,1,https://cellphones.com.vn/iphone-14-pro-max.html,26.990.000₫,29.990.000₫,Giảm 10%
iPhone 14 Pro 128GB | Chính hãng VN/A,1,https://cellphones.com.vn/iphone-14-pro.html,25.190.000₫,27.990.000₫,Giảm 10%
iPhone 13 128GB | Chính hãng VN/A,1,https://cellphones.com.vn/iphone-13.html,15.690.000₫,18.990.000₫,Giảm 17%
iPhone 15 Pro 128GB | Chính hãng VN/A,1,https://cellphones.com.vn/iphone-15-pro.html,27.390.000₫,28.990.000₫,Giảm 6%
iPhone 12 Pro Max 128GB I Chính hãng VN/A,1,https://cellphones.com.vn/iphone-12-pro-max.html,23.490.000₫,28.990.000₫,Giảm 19%
iPhone 14 Pro Max 256GB | Chính hãng VN/A,1,https://cellphones.com.vn/iphone-14-pro-max-256gb.html,29.590.000₫,32.990.000₫,Giảm 10%
iPhone 15 Plus 128GB | Chính hãng VN/A,1,https://cellphones.com.vn/iphone-15-plus.html,24.490.000₫,25.990.000₫,Giảm 6%
iPhone 15 Pro 256GB | Chính hãng VN/A,1,https://cellphones.com.vn/iphone-15-pro-256gb.html,29.990.000₫,31.990.000₫,Giảm 6%
iPhone 14 128GB | Chính hãng VN/A,1,https://cellphones.com.vn/iphone-14.html,18.590.000₫,22.990.000₫,Giảm 19%
iPhone 11 64GB | Chính hãng VN/A,1,https://cellphones.com.vn/iphone-11.html,9.890.000₫,11.990.000₫,Giảm 18%
iPhone 15 256GB | Chính hãng VN/A,1,https://cellphones.com.vn/iphone-15-256gb.html,25.390.000₫,25.990.000₫,Giảm 2%
iPhone 15 Plus 256GB | Chính hãng VN/A,1,https://cellphones.com.vn/iphone-15-plus-256gb.html,28.490.000₫,28.990.000₫,Giảm 2%
iPhone 15 Pro Max 1TB | Chính hãng VN/A,1,https://cellphones.com.vn/iphone-15-pro-max-1tb.html,45.290.000₫,46.990.000₫,Giảm 4%
iPhone 14 Plus 128GB | Chính hãng VN/A,1,https://cellphones.com.vn/iphone-14-plus.html,20.890.000₫,24.990.000₫,Giảm 16%
iPhone 12 64GB | Chính hãng VN/A,1,https://cellphones.com.vn/iphone-12.html,12.390.000₫,15.990.000₫,Giảm 23%
iPhone 14 Pro Max 512GB | Chính hãng VN/A,1,https://cellphones.com.vn/iphone-14-pro-max-512gb.html,35.190.000₫,38.990.000₫,Giảm 10%
