product_name,brand_id,product_link,current_price,original_price,percent_discount
iPad Pro 11 inch 2022 M2 Wifi 128GB I Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/ipad-pro-2022-11-inch-m2.html,19.990.000₫,23.990.000₫,Giảm 17%
iPad 10.2 2021 WiFi 64GB | Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/ipad-10-2-inch-2021.html,7.090.000₫,8.990.000₫,Giảm 21%
iPad Air 5 10.9 inch (2022) WIFI 64GB I Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/ipad-air-5.html,13.790.000₫,16.990.000₫,Giảm 19%
iPad mini 6 WiFi 64GB | Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/ipad-mini-6.html,11.590.000₫,12.990.000₫,Giảm 11%
iPad Pro 11 inch 2022 M2 Wifi 256GB I Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/ipad-pro-2022-11-inch-m2-256gb.html,23.790.000₫,26.990.000₫,Giảm 12%
iPad Gen 10 10.9 inch 2022 Wifi 64GB I Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/ipad-10-9-inch-2022.html,10.390.000₫,12.990.000₫,Giảm 20%
iPad 10.2 2021 WiFi 256GB | Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/ipad-10-2-inch-2021-256gb.html,10.990.000₫,12.990.000₫,Giảm 15%
iPad Air 5 10.9 inch (2022) 5G 64GB I Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/ipad-air-5-5g.html,17.690.000₫,20.990.000₫,Giảm 16%
iPad Gen 10 10.9 inch 2022 Wifi 256GB I Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/ipad-10-9-inch-2022-256gb.html,14.490.000₫,16.990.000₫,Giảm 15%
iPad Air 5 10.9 inch (2022) 5G 256GB I Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/ipad-air-5-5g-256gb.html,21.590.000₫,24.990.000₫,Giảm 14%
iPad 10.2 2021 4G 64GB | Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/ipad-10-2-inch-2021-4g.html,10.190.000₫,11.990.000₫,Giảm 15%
iPad Pro 11 inch 2022 M2 Wifi + 5G 128GB I Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/ipad-pro-2022-11-inch-m2-5g.html,24.090.000₫,27.990.000₫,Giảm 14%
iPad Air 5 10.9 inch (2022) WIFI 256GB I Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/ipad-air-5-256gb.html,18.290.000₫,20.990.000₫,Giảm 13%
iPad Pro 12.9 inch 2022 M2 Wifi 256GB I Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/ipad-pro-2022-12-9-inch-m2-256gb.html,31.490.000₫,34.990.000₫,Giảm 10%
iPad Gen 10 10.9 inch 2022 Wifi + 5G 256GB I Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/ipad-10-9-inch-2022-5g-256gb.html,17.990.000₫,20.990.000₫,Giảm 14%
iPad Pro 12.9 inch 2022 M2 Wifi + 5G 128GB | Chính Hãng,1,https://cellphones.com.vn/ipad-pro-2022-12-9-inch-m2-5g.html,31.490.000₫,35.990.000₫,Giảm 13%
iPad Pro 12.9 inch 2022 M2 Wifi 128GB I Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/ipad-pro-2022-12-9-inch-m2.html,27.990.000₫,31.990.000₫,Giảm 13%
iPad Pro 11 2021 M1 WiFi 128GB I Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/ipad-pro-11-2021.html,18.990.000₫,23.990.000₫,Giảm 21%
iPad Air 10.9 2020 WiFi 64GB I Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/ipad-air-4.html,16.990.000₫,0,giảm 0%
iPad mini 6 LTE 4GB 64GB | Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/ipad-mini-6-4g.html,15.690.000₫,17.990.000₫,Giảm 13%
iPad Pro 11 inch 2022 M2 Wifi + 5G 256GB I Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/ipad-pro-2022-11-inch-m2-5g-256gb.html,27.890.000₫,30.990.000₫,Giảm 10%
iPad Gen 10 10.9 inch 2022 Wifi + 5G 64GB I Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/ipad-10-9-inch-2022-5g.html,13.990.000₫,16.990.000₫,Giảm 18%
iPad Pro 12.9 inch 2022 M2 Wifi + 5G 256GB I Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/ipad-pro-2022-12-9-inch-m2-5g-256gb.html,35.990.000₫,38.990.000₫,Giảm 8%
iPad mini 6 WiFi 256GB | Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/ipad-mini-6-256gb.html,16.490.000₫,17.990.000₫,Giảm 8%
iPad Gen 11,1,https://cellphones.com.vn/ipad-10-9-inch-2023.html,Giá Liên Hệ,0,giảm 0%
iPad Pro 11 inch 2022 M2 Wifi 512GB I Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/ipad-pro-2022-11-inch-m2-512gb.html,29.990.000₫,32.990.000₫,Giảm 9%
iPad Pro 11 2020 4G 128GB I Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/apple-ipad-pro-11-2020-4g-128-gb.html,26.990.000₫,0,giảm 0%
iPad Pro 12.9 inch 2022 M2 Wifi + 5G 2TB I Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/ipad-pro-2022-12-9-inch-m2-5g-2tb.html,Giá Liên Hệ,0,giảm 0%
iPad Pro 12.9 inch 2022 M2 Wifi + 5G 1TB I Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/ipad-pro-2022-12-9-inch-m2-5g-1tb.html,Giá Liên Hệ,0,giảm 0%
iPad Pro 11 inch 2022 M2 Wifi + 5G 2TB I Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/ipad-pro-2022-11-inch-m2-5g-2tb.html,59.990.000₫,0,giảm 0%
iPad Pro 11 inch 2022 M2 Wifi + 5G 1TB I Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/ipad-pro-2022-11-inch-m2-5g-1tb.html,48.990.000₫,0,giảm 0%
Xiaomi Pad 6 8GB 128GB - Chỉ có tại CellphoneS,3,https://cellphones.com.vn/xiaomi-mi-pad-6.html,8.490.000₫,9.490.000₫,Giảm 11%
Xiaomi Redmi Pad SE 6GB 128GB,3,https://cellphones.com.vn/xiaomi-redmi-pad-se.html,4.990.000₫,5.490.000₫,Giảm 9%
