product_name,brand_id,product_link,current_price,original_price,percent_discount
Apple Watch Series 9 45mm (GPS) viền nhôm dây cao su | Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/apple-watch-series-9-45mm.html,10.590.000₫,11.290.000₫,Giảm 6%
Apple Watch SE 2023 2 44mm (GPS) viền nhôm | Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/apple-watch-se-2023-44mm.html,6.790.000₫,7.190.000₫,Giảm 6%
Apple Watch SE 2 2023 40mm (GPS) viền nhôm | Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/apple-watch-se-2023-40mm.html,5.690.000₫,6.390.000₫,Giảm 11%
Apple Watch Series 9 41mm (GPS) viền nhôm dây vải | Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/apple-watch-series-9-41mm-vien-nhom-day-vai.html,9.590.000₫,10.490.000₫,Giảm 9%
Apple Watch Series 8 41mm GPS viền nhôm | Chính hãng VN/A,1,https://cellphones.com.vn/apple-watch-series-8-41mm.html,9.190.000₫,11.990.000₫,Giảm 23%
Apple Watch SE 2022 44mm | Chính hãng VN/A,1,https://cellphones.com.vn/apple-watch-se-2022-44mm.html,6.490.000₫,8.490.000₫,Giảm 24%
Apple Watch SE 2 2023 40mm (4G) viền nhôm | Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/apple-watch-se-2023-40mm-4g.html,7.190.000₫,7.690.000₫,Giảm 7%
Apple Watch Series 9 41mm (4G) viền nhôm dây cao su | Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/apple-watch-series-9-41mm-4g.html,12.490.000₫,13.090.000₫,Giảm 5%
Apple Watch Series 9 45mm (GPS) viền nhôm dây vải | Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/apple-watch-series-9-45mm-vien-nhom-day-vai.html,10.390.000₫,11.290.000₫,Giảm 8%
Apple Watch Series 8 45mm GPS viền nhôm | Chính hãng VN/A,1,https://cellphones.com.vn/apple-watch-series-8-45mm.html,8.990.000₫,12.990.000₫,Giảm 31%
Apple Watch Series 8 41mm 4G viền nhôm dây cao su | Chính hãng VN/A,1,https://cellphones.com.vn/apple-watch-series-8-41mm-4g.html,8.990.000₫,14.990.000₫,Giảm 40%
Apple Watch Series 9 45mm (4G) viền nhôm dây cao su | Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/apple-watch-series-9-45mm-4g.html,13.690.000₫,13.890.000₫,Giảm 1%
Apple Watch SE 2 2023 44mm (4G) viền nhôm | Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/apple-watch-se-2023-44mm-4g.html,7.890.000₫,8.490.000₫,Giảm 7%
Apple Watch Ultra 49MM (4G) - Viền Titan Dây Vải Cỡ Trung | Chính Hãng,1,https://cellphones.com.vn/apple-watch-ultra-49mm-4g-vien-titan-day-vai-trung.html,16.490.000₫,23.990.000₫,Giảm 31%
Apple Watch SE 2023 44mm (GPS) viền nhôm dây cao su size M/L | Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/apple-watch-se-2-2023-44mm-vien-nhom-day-cao-su-m-l.html,6.790.000₫,7.190.000₫,Giảm 6%
Apple Watch Series 9 45mm (4G) viền thép dây thép | Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/apple-watch-series-9-45mm-4g-vien-thep-day-thep.html,20.190.000₫,21.590.000₫,Giảm 6%
Apple Watch Series 8 45mm 4G viền thép dây cao su | Chính Hãng VN/A,1,https://cellphones.com.vn/apple-watch-series-8-45mm-lte-vien-thep-day-cao-su.html,12.490.000₫,21.990.000₫,Giảm 43%
Apple Watch Series 8 45mm 4G viền nhôm dây cao su | Chính hãng VN/A,1,https://cellphones.com.vn/apple-watch-series-8-45mm-lte.html,9.990.000₫,15.990.000₫,Giảm 38%
Apple Watch Ultra 49MM (4G) - Viền Titan Dây Vải Cỡ Nhỏ | Chính Hãng,1,https://cellphones.com.vn/apple-watch-ultra-49mm-4g-vien-titan-day-vai-nho.html,16.490.000₫,23.990.000₫,Giảm 31%
Apple Watch Series 9 41mm (4G) viền thép dây thép | Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/apple-watch-series-9-41mm-4g-vien-thep-day-thep.html,19.390.000₫,20.290.000₫,Giảm 4%
