brand_name,link,brand_id
mac,https://cellphones.com.vn/laptop/mac.html,1
asus,https://cellphones.com.vn/laptop/asus.html,2
msi,https://cellphones.com.vn/laptop/msi.html,3
lenovo,https://cellphones.com.vn/laptop/lenovo.html,4
hp,https://cellphones.com.vn/laptop/hp.html,5
acer,https://cellphones.com.vn/laptop/acer.html,6
surface,https://cellphones.com.vn/laptop/surface.html,7
lg,https://cellphones.com.vn/laptop/lg.html,8
huawei,https://cellphones.com.vn/laptop/huawei.html,9
dell,https://cellphones.com.vn/laptop/dell.html,10
gigabyte,https://cellphones.com.vn/laptop/gigabyte.html,11
vaio,https://cellphones.com.vn/laptop/vaio.html,12
