product_name,brand_id,product_link,current_price,original_price,percent_discount
Macbook Pro 14 M3 Pro 18GB - 512GB | Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/macbook-pro-14-inch-m3-pro-2023-18gb-512gb.html,49.990.000₫,0,giảm 0%
iMac M3 24 inch 8GB 256GB 8GPU | Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/imac-m3-2023-24-inch-8gb-256gb.html,36.490.000₫,36.990.000₫,Giảm 1%
Apple MacBook Air M1 256GB 2020 I Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/macbook-air-2020-m1.html,18.690.000₫,22.990.000₫,Giảm 19%
Apple Macbook Air M2 2022 8GB 256GB I Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/macbook-air-m2-2022.html,26.190.000₫,32.990.000₫,Giảm 21%
Apple Macbook Pro 13 M2 2022 8GB 256GB I Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/macbook-pro-m2-2022.html,29.790.000₫,35.990.000₫,Giảm 17%
Apple Macbook Air M2 2022 16GB 256GB I Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/macbook-air-m2-2022-16gb.html,30.890.000₫,39.990.000₫,Giảm 23%
Apple MacBook Pro 13 M2 2022 16GB 256GB I Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/macbook-pro-m2-2022-16gb-256gb.html,35.390.000₫,41.990.000₫,Giảm 16%
Macbook Pro 14 M3 8GB - 512GB | Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/macbook-pro-14-inch-m3-2023-8gb-512gb.html,38.990.000₫,39.990.000₫,Giảm 3%
Apple Macbook Air M2 2022 16GB 512GB I Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/macbook-air-m2-2022-16gb-512gb.html,36.990.000₫,45.990.000₫,Giảm 20%
Macbook Air 15 inch M2 2023 8GB 256GB sạc 35W | Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/macbook-air-15-inch-m2-2023.html,28.990.000₫,32.990.000₫,Giảm 12%
Macbook Pro 14 M1 Pro 10 CPU - 16 GPU 16GB 1TB 2021 | Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/macbook-pro-14-inch-2021-1tb.html,43.590.000₫,65.990.000₫,Giảm 34%
MacBook Air 15 inch M2 2023 16GB 256GB | Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/macbook-air-15-inch-m2-2023-16gb-256gb.html,35.990.000₫,37.990.000₫,Giảm 5%
Macbook Air 15 inch M2 2023 8GB 256GB sạc 70W | Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/macbook-air-15-inch-m2-2023-sac-70w.html,29.290.000₫,32.990.000₫,Giảm 11%
MacBook Pro 16 inch M2 Pro 2023 (12 CPU - 19 GPU - 16GB - 512GB),1,https://cellphones.com.vn/macbook-pro-16-inch-m2-pro-2023.html,60.990.000₫,65.990.000₫,Giảm 8%
Macbook Pro 14 M3 Pro 18GB - 1TB | Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/macbook-pro-14-inch-m3-pro-2023-18gb-1tb.html,59.590.000₫,59.990.000₫,Giảm 1%
Macbook Pro 16 inch M1 Max 10 CPU - 32 GPU 32GB 1TB 2021 | Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/macbook-pro-16-inch-2021-m1-max.html,60.990.000₫,92.990.000₫,Giảm 34%
Macbook Pro 14 M3 Max 36GB - 1TB | Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/macbook-pro-14-inch-m3-max-2023-36gb-1tb.html,79.990.000₫,0,giảm 0%
Mac mini M2 Pro 2023 (10 CPU - 16 GPU - 16GB - 512GB) | Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/mac-mini-m2-pro-2023.html,30.990.000₫,34.990.000₫,Giảm 11%
iMac M3 24 inch 16GB 256GB | Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/imac-m3-2023-24-inch-16gb-256gb.html,40.990.000₫,41.990.000₫,Giảm 2%
Mac mini M2 2023 (8 CPU - 10 GPU - 16GB - 512GB) | Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/mac-mini-m2-16gb-512gb-2023.html,23.990.000₫,27.990.000₫,Giảm 14%
MacBook Air 15 inch M2 2023 16GB 512GB | Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/macbook-air-15-inch-m2-2023-16gb-512gb.html,41.590.000₫,42.990.000₫,Giảm 3%
Macbook Pro 16 M3 Pro 36GB - 512GB | Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/macbook-pro-16-inch-m3-pro-2023-36gb-512gb.html,74.990.000₫,0,giảm 0%
Mac mini M2 2023 (8 CPU - 10 GPU - 16GB - 256GB) | Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/mac-mini-m2-16gb-2023.html,20.490.000₫,22.990.000₫,Giảm 11%
Macbook Pro 16 M3 Pro 18GB - 512GB | Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/macbook-pro-16-inch-m3-pro-2023-18gb-512gb.html,64.990.000₫,0,giảm 0%
iMac M3 24 inch 8GB 512GB | Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/imac-m3-2023-24-inch-8gb-512gb.html,46.990.000₫,0,giảm 0%
Macbook Pro 14 M3 8GB - 1TB | Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/macbook-pro-14-inch-m3-2023-8gb-1tb.html,44.990.000₫,0,giảm 0%
Mac mini M2 2023 (8 CPU - 10 GPU - 24GB - 256GB) | Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/mac-mini-m2-24gb-2023.html,24.690.000₫,27.990.000₫,Giảm 12%
Mac mini M2 2023 (8 CPU - 10 GPU - 8GB - 512GB) | Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/mac-mini-m2-512gb-2023.html,19.190.000₫,21.990.000₫,Giảm 13%
Mac Studio M2 Ultra 2023,1,https://cellphones.com.vn/mac-studio-m2-ultra-2023.html,107.990.000₫,109.990.000₫,Giảm 2%
Macbook Pro 14 M3 (8 CPU - 10 GPU - 16GB - 1TB) | Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/macbook-pro-m3-2023-14-inch-16gb-1tb.html,49.990.000₫,0,giảm 0%
iMac M3 24 inch 16GB 512GB | Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/imac-m3-2023-24-inch-16gb-512gb-75038.html,45.990.000₫,46.990.000₫,Giảm 2%
MacBook Air 15 inch M2 2023 16GB 256GB sạc 35W | Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/macbook-air-15-inch-m2-2023-16gb-256gb-sac-35w.html,35.690.000₫,37.990.000₫,Giảm 6%
