product_name,current_price,original_price,percent_discount,product_link,brand_name
Macbook Pro 14 M3 Pro 18GB - 512GB | Chính hãng Apple Việt Nam,49990000,49990000,0,https://cellphones.com.vn/macbook-pro-14-inch-m3-pro-2023-18gb-512gb.html,mac
iMac M3 24 inch 8GB 256GB 8GPU | Chính hãng Apple Việt Nam,36490000,36990000,1,https://cellphones.com.vn/imac-m3-2023-24-inch-8gb-256gb.html,mac
Apple MacBook Air M1 256GB 2020 I Chính hãng Apple Việt Nam,18690000,22990000,19,https://cellphones.com.vn/macbook-air-2020-m1.html,mac
Apple Macbook Air M2 2022 8GB 256GB I Chính hãng Apple Việt Nam,26190000,32990000,21,https://cellphones.com.vn/macbook-air-m2-2022.html,mac
Apple Macbook Pro 13 M2 2022 8GB 256GB I Chính hãng Apple Việt Nam,29790000,35990000,17,https://cellphones.com.vn/macbook-pro-m2-2022.html,mac
Apple Macbook Air M2 2022 16GB 256GB I Chính hãng Apple Việt Nam,30890000,39990000,23,https://cellphones.com.vn/macbook-air-m2-2022-16gb.html,mac
Apple MacBook Pro 13 M2 2022 16GB 256GB I Chính hãng Apple Việt Nam,35390000,41990000,16,https://cellphones.com.vn/macbook-pro-m2-2022-16gb-256gb.html,mac
Macbook Pro 14 M3 8GB - 512GB | Chính hãng Apple Việt Nam,38990000,39990000,3,https://cellphones.com.vn/macbook-pro-14-inch-m3-2023-8gb-512gb.html,mac
Apple Macbook Air M2 2022 16GB 512GB I Chính hãng Apple Việt Nam,36990000,45990000,20,https://cellphones.com.vn/macbook-air-m2-2022-16gb-512gb.html,mac
Macbook Air 15 inch M2 2023 8GB 256GB sạc 35W | Chính hãng Apple Việt Nam,28990000,32990000,12,https://cellphones.com.vn/macbook-air-15-inch-m2-2023.html,mac
Macbook Pro 14 M1 Pro 10 CPU - 16 GPU 16GB 1TB 2021 | Chính hãng Apple Việt Nam,43590000,65990000,34,https://cellphones.com.vn/macbook-pro-14-inch-2021-1tb.html,mac
MacBook Air 15 inch M2 2023 16GB 256GB | Chính hãng Apple Việt Nam,35990000,37990000,5,https://cellphones.com.vn/macbook-air-15-inch-m2-2023-16gb-256gb.html,mac
Macbook Air 15 inch M2 2023 8GB 256GB sạc 70W | Chính hãng Apple Việt Nam,29290000,32990000,11,https://cellphones.com.vn/macbook-air-15-inch-m2-2023-sac-70w.html,mac
MacBook Pro 16 inch M2 Pro 2023 (12 CPU - 19 GPU - 16GB - 512GB),60990000,65990000,8,https://cellphones.com.vn/macbook-pro-16-inch-m2-pro-2023.html,mac
Macbook Pro 14 M3 Pro 18GB - 1TB | Chính hãng Apple Việt Nam,59590000,59990000,1,https://cellphones.com.vn/macbook-pro-14-inch-m3-pro-2023-18gb-1tb.html,mac
Macbook Pro 16 inch M1 Max 10 CPU - 32 GPU 32GB 1TB 2021 | Chính hãng Apple Việt Nam,60990000,92990000,34,https://cellphones.com.vn/macbook-pro-16-inch-2021-m1-max.html,mac
Macbook Pro 14 M3 Max 36GB - 1TB | Chính hãng Apple Việt Nam,79990000,79990000,0,https://cellphones.com.vn/macbook-pro-14-inch-m3-max-2023-36gb-1tb.html,mac
Mac mini M2 Pro 2023 (10 CPU - 16 GPU - 16GB - 512GB) | Chính hãng Apple Việt Nam,30990000,34990000,11,https://cellphones.com.vn/mac-mini-m2-pro-2023.html,mac
iMac M3 24 inch 16GB 256GB | Chính hãng Apple Việt Nam,40990000,41990000,2,https://cellphones.com.vn/imac-m3-2023-24-inch-16gb-256gb.html,mac
Mac mini M2 2023 (8 CPU - 10 GPU - 16GB - 512GB) | Chính hãng Apple Việt Nam,23990000,27990000,14,https://cellphones.com.vn/mac-mini-m2-16gb-512gb-2023.html,mac
MacBook Air 15 inch M2 2023 16GB 512GB | Chính hãng Apple Việt Nam,41590000,42990000,3,https://cellphones.com.vn/macbook-air-15-inch-m2-2023-16gb-512gb.html,mac
Macbook Pro 16 M3 Pro 36GB - 512GB | Chính hãng Apple Việt Nam,74990000,74990000,0,https://cellphones.com.vn/macbook-pro-16-inch-m3-pro-2023-36gb-512gb.html,mac
Mac mini M2 2023 (8 CPU - 10 GPU - 16GB - 256GB) | Chính hãng Apple Việt Nam,20490000,22990000,11,https://cellphones.com.vn/mac-mini-m2-16gb-2023.html,mac
Macbook Pro 16 M3 Pro 18GB - 512GB | Chính hãng Apple Việt Nam,64990000,64990000,0,https://cellphones.com.vn/macbook-pro-16-inch-m3-pro-2023-18gb-512gb.html,mac
iMac M3 24 inch 8GB 512GB | Chính hãng Apple Việt Nam,46990000,46990000,0,https://cellphones.com.vn/imac-m3-2023-24-inch-8gb-512gb.html,mac
Macbook Pro 14 M3 8GB - 1TB | Chính hãng Apple Việt Nam,44990000,44990000,0,https://cellphones.com.vn/macbook-pro-14-inch-m3-2023-8gb-1tb.html,mac
Mac mini M2 2023 (8 CPU - 10 GPU - 24GB - 256GB) | Chính hãng Apple Việt Nam,24690000,27990000,12,https://cellphones.com.vn/mac-mini-m2-24gb-2023.html,mac
Mac mini M2 2023 (8 CPU - 10 GPU - 8GB - 512GB) | Chính hãng Apple Việt Nam,19190000,21990000,13,https://cellphones.com.vn/mac-mini-m2-512gb-2023.html,mac
Mac Studio M2 Ultra 2023,107990000,109990000,2,https://cellphones.com.vn/mac-studio-m2-ultra-2023.html,mac
