product_name,current_price,original_price,percent_discount,product_link,brand_name
iPad Pro 11 inch 2022 M2 Wifi 128GB I Chính hãng Apple Việt Nam,19990000,23990000,17,https://cellphones.com.vn/ipad-pro-2022-11-inch-m2.html,ipad
iPad 10.2 2021 WiFi 64GB | Chính hãng Apple Việt Nam,7090000,8990000,21,https://cellphones.com.vn/ipad-10-2-inch-2021.html,ipad
iPad Air 5 10.9 inch (2022) WIFI 64GB I Chính hãng Apple Việt Nam,13790000,16990000,19,https://cellphones.com.vn/ipad-air-5.html,ipad
iPad mini 6 WiFi 64GB | Chính hãng Apple Việt Nam,11590000,12990000,11,https://cellphones.com.vn/ipad-mini-6.html,ipad
iPad Pro 11 inch 2022 M2 Wifi 256GB I Chính hãng Apple Việt Nam,23790000,26990000,12,https://cellphones.com.vn/ipad-pro-2022-11-inch-m2-256gb.html,ipad
iPad Gen 10 10.9 inch 2022 Wifi 64GB I Chính hãng Apple Việt Nam,10390000,12990000,20,https://cellphones.com.vn/ipad-10-9-inch-2022.html,ipad
iPad 10.2 2021 WiFi 256GB | Chính hãng Apple Việt Nam,10990000,12990000,15,https://cellphones.com.vn/ipad-10-2-inch-2021-256gb.html,ipad
iPad Air 5 10.9 inch (2022) 5G 64GB I Chính hãng Apple Việt Nam,17690000,20990000,16,https://cellphones.com.vn/ipad-air-5-5g.html,ipad
iPad Gen 10 10.9 inch 2022 Wifi 256GB I Chính hãng Apple Việt Nam,14490000,16990000,15,https://cellphones.com.vn/ipad-10-9-inch-2022-256gb.html,ipad
iPad Air 5 10.9 inch (2022) 5G 256GB I Chính hãng Apple Việt Nam,21590000,24990000,14,https://cellphones.com.vn/ipad-air-5-5g-256gb.html,ipad
iPad 10.2 2021 4G 64GB | Chính hãng Apple Việt Nam,10190000,11990000,15,https://cellphones.com.vn/ipad-10-2-inch-2021-4g.html,ipad
iPad Pro 11 inch 2022 M2 Wifi + 5G 128GB I Chính hãng Apple Việt Nam,24090000,27990000,14,https://cellphones.com.vn/ipad-pro-2022-11-inch-m2-5g.html,ipad
iPad Air 5 10.9 inch (2022) WIFI 256GB I Chính hãng Apple Việt Nam,18290000,20990000,13,https://cellphones.com.vn/ipad-air-5-256gb.html,ipad
iPad Pro 12.9 inch 2022 M2 Wifi 256GB I Chính hãng Apple Việt Nam,31490000,34990000,10,https://cellphones.com.vn/ipad-pro-2022-12-9-inch-m2-256gb.html,ipad
iPad Gen 10 10.9 inch 2022 Wifi + 5G 256GB I Chính hãng Apple Việt Nam,17990000,20990000,14,https://cellphones.com.vn/ipad-10-9-inch-2022-5g-256gb.html,ipad
iPad Pro 12.9 inch 2022 M2 Wifi + 5G 128GB | Chính Hãng,31490000,35990000,13,https://cellphones.com.vn/ipad-pro-2022-12-9-inch-m2-5g.html,ipad
iPad Pro 12.9 inch 2022 M2 Wifi 128GB I Chính hãng Apple Việt Nam,27990000,31990000,13,https://cellphones.com.vn/ipad-pro-2022-12-9-inch-m2.html,ipad
iPad Pro 11 2021 M1 WiFi 128GB I Chính hãng Apple Việt Nam,18990000,23990000,21,https://cellphones.com.vn/ipad-pro-11-2021.html,ipad
iPad Air 10.9 2020 WiFi 64GB I Chính hãng Apple Việt Nam,16990000,16990000,0,https://cellphones.com.vn/ipad-air-4.html,ipad
iPad mini 6 LTE 4GB 64GB | Chính hãng Apple Việt Nam,15690000,17990000,13,https://cellphones.com.vn/ipad-mini-6-4g.html,ipad
iPad Pro 11 inch 2022 M2 Wifi + 5G 256GB I Chính hãng Apple Việt Nam,27890000,30990000,10,https://cellphones.com.vn/ipad-pro-2022-11-inch-m2-5g-256gb.html,ipad
iPad Gen 10 10.9 inch 2022 Wifi + 5G 64GB I Chính hãng Apple Việt Nam,13990000,16990000,18,https://cellphones.com.vn/ipad-10-9-inch-2022-5g.html,ipad
iPad Pro 12.9 inch 2022 M2 Wifi + 5G 256GB I Chính hãng Apple Việt Nam,35990000,38990000,8,https://cellphones.com.vn/ipad-pro-2022-12-9-inch-m2-5g-256gb.html,ipad
iPad mini 6 WiFi 256GB | Chính hãng Apple Việt Nam,16490000,17990000,8,https://cellphones.com.vn/ipad-mini-6-256gb.html,ipad
iPad Gen 11,0,0,0,https://cellphones.com.vn/ipad-10-9-inch-2023.html,ipad
iPad Pro 11 inch 2022 M2 Wifi 512GB I Chính hãng Apple Việt Nam,29990000,32990000,9,https://cellphones.com.vn/ipad-pro-2022-11-inch-m2-512gb.html,ipad
iPad Pro 11 2020 4G 128GB I Chính hãng Apple Việt Nam,26990000,26990000,0,https://cellphones.com.vn/apple-ipad-pro-11-2020-4g-128-gb.html,ipad
iPad Pro 12.9 inch 2022 M2 Wifi + 5G 2TB I Chính hãng Apple Việt Nam,0,0,0,https://cellphones.com.vn/ipad-pro-2022-12-9-inch-m2-5g-2tb.html,ipad
iPad Pro 12.9 inch 2022 M2 Wifi + 5G 1TB I Chính hãng Apple Việt Nam,0,0,0,https://cellphones.com.vn/ipad-pro-2022-12-9-inch-m2-5g-1tb.html,ipad
iPad Pro 11 inch 2022 M2 Wifi + 5G 2TB I Chính hãng Apple Việt Nam,59990000,59990000,0,https://cellphones.com.vn/ipad-pro-2022-11-inch-m2-5g-2tb.html,ipad
iPad Pro 11 inch 2022 M2 Wifi + 5G 1TB I Chính hãng Apple Việt Nam,48990000,48990000,0,https://cellphones.com.vn/ipad-pro-2022-11-inch-m2-5g-1tb.html,ipad
