product_name,current_price,original_price,percent_discount,product_link,brand_name
Apple Watch Series 9 45mm (GPS) viền nhôm dây cao su | Chính hãng Apple Việt Nam,10590000,11290000,6,https://cellphones.com.vn/apple-watch-series-9-45mm.html,apple-watch
Apple Watch SE 2023 2 44mm (GPS) viền nhôm | Chính hãng Apple Việt Nam,6790000,7190000,6,https://cellphones.com.vn/apple-watch-se-2023-44mm.html,apple-watch
Apple Watch SE 2 2023 40mm (GPS) viền nhôm | Chính hãng Apple Việt Nam,5690000,6390000,11,https://cellphones.com.vn/apple-watch-se-2023-40mm.html,apple-watch
Apple Watch Series 9 41mm (GPS) viền nhôm dây vải | Chính hãng Apple Việt Nam,9590000,10490000,9,https://cellphones.com.vn/apple-watch-series-9-41mm-vien-nhom-day-vai.html,apple-watch
Apple Watch Series 8 41mm GPS viền nhôm | Chính hãng VN/A,9190000,11990000,23,https://cellphones.com.vn/apple-watch-series-8-41mm.html,apple-watch
Apple Watch SE 2022 44mm | Chính hãng VN/A,6490000,8490000,24,https://cellphones.com.vn/apple-watch-se-2022-44mm.html,apple-watch
Apple Watch SE 2 2023 40mm (4G) viền nhôm | Chính hãng Apple Việt Nam,7190000,7690000,7,https://cellphones.com.vn/apple-watch-se-2023-40mm-4g.html,apple-watch
Apple Watch Series 9 41mm (4G) viền nhôm dây cao su | Chính hãng Apple Việt Nam,12490000,13090000,5,https://cellphones.com.vn/apple-watch-series-9-41mm-4g.html,apple-watch
Apple Watch Series 9 45mm (GPS) viền nhôm dây vải | Chính hãng Apple Việt Nam,10390000,11290000,8,https://cellphones.com.vn/apple-watch-series-9-45mm-vien-nhom-day-vai.html,apple-watch
Apple Watch Series 8 45mm GPS viền nhôm | Chính hãng VN/A,8990000,12990000,31,https://cellphones.com.vn/apple-watch-series-8-45mm.html,apple-watch
Apple Watch Series 8 41mm 4G viền nhôm dây cao su | Chính hãng VN/A,8990000,14990000,40,https://cellphones.com.vn/apple-watch-series-8-41mm-4g.html,apple-watch
Apple Watch Series 9 45mm (4G) viền nhôm dây cao su | Chính hãng Apple Việt Nam,13690000,13890000,1,https://cellphones.com.vn/apple-watch-series-9-45mm-4g.html,apple-watch
Apple Watch SE 2 2023 44mm (4G) viền nhôm | Chính hãng Apple Việt Nam,7890000,8490000,7,https://cellphones.com.vn/apple-watch-se-2023-44mm-4g.html,apple-watch
Apple Watch Ultra 49MM (4G) - Viền Titan Dây Vải Cỡ Trung | Chính Hãng,16490000,23990000,31,https://cellphones.com.vn/apple-watch-ultra-49mm-4g-vien-titan-day-vai-trung.html,apple-watch
Apple Watch SE 2023 44mm (GPS) viền nhôm dây cao su size M/L | Chính hãng Apple Việt Nam,6790000,7190000,6,https://cellphones.com.vn/apple-watch-se-2-2023-44mm-vien-nhom-day-cao-su-m-l.html,apple-watch
Apple Watch Series 9 45mm (4G) viền thép dây thép | Chính hãng Apple Việt Nam,20190000,21590000,6,https://cellphones.com.vn/apple-watch-series-9-45mm-4g-vien-thep-day-thep.html,apple-watch
Apple Watch Series 8 45mm 4G viền thép dây cao su | Chính Hãng VN/A,12490000,21990000,43,https://cellphones.com.vn/apple-watch-series-8-45mm-lte-vien-thep-day-cao-su.html,apple-watch
Apple Watch Series 8 45mm 4G viền nhôm dây cao su | Chính hãng VN/A,9990000,15990000,38,https://cellphones.com.vn/apple-watch-series-8-45mm-lte.html,apple-watch
Apple Watch Ultra 49MM (4G) - Viền Titan Dây Vải Cỡ Nhỏ | Chính Hãng,16490000,23990000,31,https://cellphones.com.vn/apple-watch-ultra-49mm-4g-vien-titan-day-vai-nho.html,apple-watch
Apple Watch Series 9 41mm (4G) viền thép dây thép | Chính hãng Apple Việt Nam,19390000,20290000,4,https://cellphones.com.vn/apple-watch-series-9-41mm-4g-vien-thep-day-thep.html,apple-watch
Apple Watch Series 8 45mm 4G viền thép dây thép | Chính hãng VN/A,14990000,22990000,35,https://cellphones.com.vn/apple-watch-series-8-45mm-lte-vien-thep-day-thep.html,apple-watch
Apple Watch Ultra 49mm Viền Titan - Dây cao su | Chính hãng VN/A,17490000,23990000,27,https://cellphones.com.vn/apple-watch-ultra-49mm.html,apple-watch
Apple Watch Series 8 41mm 4G viền thép dây cao su | Chính hãng VN/A,13990000,19990000,30,https://cellphones.com.vn/apple-watch-series-8-41mm-lte-vien-thep-day-cao-su.html,apple-watch
Apple Watch Ultra 49MM (4G) - Viền Titan Dây Vải Cỡ Lớn | Chính Hãng,16490000,23990000,31,https://cellphones.com.vn/apple-watch-ultra-49mm-4g-vien-titan-day-vai-lon.html,apple-watch
Apple Watch Series 8 41mm 4G viền thép dây thép | Chính Hãng VN/A,14990000,20990000,29,https://cellphones.com.vn/apple-watch-series-8-41mm-lte-vien-thep-day-thep.html,apple-watch
Apple Watch Ultra 49MM (4G) - Viền Titan Dây Dán Cỡ Nhỏ | Chính Hãng,16490000,23990000,31,https://cellphones.com.vn/apple-watch-ultra-49mm-4g-vien-titan-day-dan-vai-nho.html,apple-watch
Apple Watch Series 9 41mm (4G) viền thép dây cao su | Chính hãng Apple Việt Nam,16990000,18990000,11,https://cellphones.com.vn/apple-watch-series-9-41mm-4g-vien-thep-day-cao-su.html,apple-watch
